climate,diet,vial,day0,total,day,dead,dead_percent
present,honey,1,11/04/2022,59,1,0,1
present,honey,1,11/04/2022,59,3,0,1
present,honey,1,11/04/2022,59,4,2,0.966101695
present,honey,1,11/04/2022,59,8,2,0.966101695
present,honey,1,11/04/2022,59,9,2,0.966101695
present,honey,1,11/04/2022,59,10,3,0.949152542
present,honey,1,11/04/2022,59,11,3,0.949152542
present,honey,1,11/04/2022,59,14,3,0.949152542
present,honey,1,11/04/2022,59,15,5,0.915254237
present,honey,1,11/04/2022,59,16,5,0.915254237
present,honey,1,11/04/2022,59,17,6,0.898305085
present,honey,1,11/04/2022,59,18,13,0.779661017
present,honey,1,11/04/2022,59,21,14,0.762711864
present,honey,1,11/04/2022,59,22,21,0.644067797
present,honey,1,11/04/2022,59,23,36,0.389830508
present,honey,1,11/04/2022,59,24,40,0.322033898
present,honey,1,11/04/2022,59,31,59,0
present,honey,2,11/04/2022,61,1,0,1
present,honey,2,11/04/2022,61,3,2,0.967213115
present,honey,2,11/04/2022,61,4,6,0.901639344
present,honey,2,11/04/2022,61,8,8,0.868852459
present,honey,2,11/04/2022,61,9,8,0.868852459
present,honey,2,11/04/2022,61,10,10,0.836065574
present,honey,2,11/04/2022,61,11,13,0.786885246
present,honey,2,11/04/2022,61,14,21,0.655737705
present,honey,2,11/04/2022,61,15,23,0.62295082
present,honey,2,11/04/2022,61,16,24,0.606557377
present,honey,2,11/04/2022,61,17,24,0.606557377
present,honey,2,11/04/2022,61,18,24,0.606557377
present,honey,2,11/04/2022,61,21,24,0.606557377
present,honey,2,11/04/2022,61,22,27,0.557377049
present,honey,2,11/04/2022,61,23,46,0.245901639
present,honey,2,11/04/2022,61,24,52,0.147540984
present,honey,2,11/04/2022,61,31,61,0
present,honey,3,11/04/2022,82,1,0,1
present,honey,3,11/04/2022,82,3,1,0.987804878
present,honey,3,11/04/2022,82,4,1,0.987804878
present,honey,3,11/04/2022,82,8,1,0.987804878
present,honey,3,11/04/2022,82,9,1,0.987804878
present,honey,3,11/04/2022,82,10,7,0.914634146
present,honey,3,11/04/2022,82,11,7,0.914634146
