"File","waveforms","time"
"St19_1-ch1_BA84male.converted.ANA",1,12
"St19_1-ch1_BA84male.converted.ANA",2,18.3
"St19_1-ch1_BA84male.converted.ANA",1,754.42
"St19_1-ch1_BA84male.converted.ANA",2,793.54
"St19_1-ch1_BA84male.converted.ANA",7,877.99
"St19_1-ch1_BA84male.converted.ANA",11,1241.75
"St19_1-ch1_BA84male.converted.ANA",7,1249.85
"St19_1-ch1_BA84male.converted.ANA",11,1527.92
"St19_1-ch1_BA84male.converted.ANA",7,1533.43
"St19_1-ch1_BA84male.converted.ANA",11,1568.97
"St19_1-ch1_BA84male.converted.ANA",7,1576.31
"St19_1-ch1_BA84male.converted.ANA",2,1683.43
"St19_1-ch1_BA84male.converted.ANA",1,1698.87
"St19_1-ch1_BA84male.converted.ANA",2,1873.37
"St19_1-ch1_BA84male.converted.ANA",1,2002.03
"St19_1-ch1_BA84male.converted.ANA",2,2044.69
"St19_1-ch1_BA84male.converted.ANA",1,2249.33
"St19_1-ch1_BA84male.converted.ANA",2,2265.54
"St19_1-ch1_BA84male.converted.ANA",7,2355.08
"St19_1-ch1_BA84male.converted.ANA",11,2433.05
"St19_1-ch1_BA84male.converted.ANA",7,2436.96
"St19_1-ch1_BA84male.converted.ANA",11,2460.99
"St19_1-ch1_BA84male.converted.ANA",7,2464.34
"St19_1-ch1_BA84male.converted.ANA",11,2502.48
"St19_1-ch1_BA84male.converted.ANA",7,2507.98
"St19_1-ch1_BA84male.converted.ANA",11,2537.04
"St19_1-ch1_BA84male.converted.ANA",7,2549.88
"St19_1-ch1_BA84male.converted.ANA",11,2583.43
"St19_1-ch1_BA84male.converted.ANA",7,2595.97
"St19_1-ch1_BA84male.converted.ANA",2,2638.26
"St19_1-ch1_BA84male.converted.ANA",7,2754.55
"St19_1-ch1_BA84male.converted.ANA",2,2791.15
"St19_1-ch1_BA84male.converted.ANA",7,2918.66
"St19_1-ch1_BA84male.converted.ANA",2,2962.7
"St19_1-ch1_BA84male.converted.ANA",7,3141.52
"St19_1-ch1_BA84male.converted.ANA",2,3171.03
"St19_1-ch1_BA84male.converted.ANA",7,3376.82
"St19_1-ch1_BA84male.converted.ANA",11,3420.26
"St19_1-ch1_BA84male.converted.ANA",7,3423.63
"St19_1-ch1_BA84male.converted.ANA",11,3461.36
"St19_1-ch1_BA84male.converted.ANA",7,3465.42
"St19_1-ch1_BA84male.converted.ANA",11,3542.06
"St19_1-ch1_BA84male.converted.ANA",7,3553.28
"St19_1-ch1_BA84male.converted.ANA",11,3592.06
"St19_1-ch1_BA84male.converted.ANA",7,3604.69
"St19_1-ch1_BA84male.converted.ANA",11,3632.69
"St19_1-ch1_BA84male.converted.ANA",7,3639.22
"St19_1-ch1_BA84male.converted.ANA",2,3661.58
"St19_1-ch1_BA84male.converted.ANA",1,3791.91
"St19_1-ch1_BA84male.converted.ANA",2,3868.34
"St19_1-ch1_BA84male.converted.ANA",1,3876.19
"St19_1-ch1_BA84male.converted.ANA",2,3899.32
"St19_1-ch1_BA84male.converted.ANA",1,5541.98
"St19_1-ch1_BA84male.converted.ANA",2,5747.16
"St19_1-ch1_BA84male.converted.ANA",1,6046.39
