Data Set,Target,Biological_Group_Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
2-SYBR,EF1alpha,BA84_14dpe_101,,0.25482,-1.97244,0.10215,0.10215,,0.05897,0.05897,,,,,,,,,,,,,,,,,,,,,,3,17.79,0.58682,0.33880,
2-SYBR,EF1alpha,BA84_14dpe_102,,0.34336,-1.54219,0.11108,0.11108,,0.07854,0.07854,,,,,,,,,,,,,,,,,,,,,,2,17.36,0.47358,0.33487,
2-SYBR,EF1alpha,BA84_14dpe_106,,0.46951,-1.09076,0.14455,0.14455,,0.08346,0.08346,,,,,,,,,,,,,,,,,,,,,,3,16.90,0.45071,0.26022,
2-SYBR,EF1alpha,BA84_14dpe_107,,0.40487,-1.30446,0.24516,0.24516,,0.14154,0.14154,,,,,,,,,,,,,,,,,,,,,,3,17.11,0.88645,0.51179,
1-SYBR,EF1alpha,BA84_14dpe_108,,0.49019,-1.02858,0.23745,0.23745,,0.13709,0.13709,,,,,,,,,,,,,,,,,,,,,,3,16.83,0.70913,0.40942,
1-SYBR,EF1alpha,BA84_14dpe_109,,0.73395,-0.44625,0.07894,0.07894,,0.04557,0.04557,,,,,,,,,,,,,,,,,,,,,,3,16.24,0.15744,0.09090,
2-SYBR,EF1alpha,BA84_14dpe_1917,,0.56367,-0.82708,0.19928,0.19928,,0.11506,0.11506,,,,,,,,,,,,,,,,,,,,,,3,16.63,0.51757,0.29882,
2-SYBR,EF1alpha,BA84_14dpe_1921,,0.63078,-0.66478,0.24971,0.24971,,0.14417,0.14417,,,,,,,,,,,,,,,,,,,,,,3,16.47,0.57952,0.33459,
1-SYBR,EF1alpha,BA84_14dpe_230,,0.59579,-0.74712,0.30745,0.30745,,0.17751,0.17751,,,,,,,,,,,,,,,,,,,,,,3,16.55,0.75545,0.43616,
1-SYBR,EF1alpha,BA84_14dpe_231,,0.45076,-1.14957,0.11346,0.11346,,0.06551,0.06551,,,,,,,,,,,,,,,,,,,,,,3,16.96,0.36850,0.21275,
7-EF1alpha,EF1alpha,BA84_14dpe_2643,,0.92672,-0.10979,0.04555,0.04555,,0.02630,0.02630,,,,,,,,,,,,,,,,,,,,,,3,15.90,0.07195,0.04154,
7-EF1alpha,EF1alpha,BA84_14dpe_2644,,0.45567,-1.13393,0.04918,0.04918,,0.02840,0.02840,,,,,,,,,,,,,,,,,,,,,,3,16.94,0.15801,0.09123,
7-EF1alpha,EF1alpha,BA84_14dpe_2645,,0.75629,-0.40299,0.03544,0.03544,,0.02046,0.02046,,,,,,,,,,,,,,,,,,,,,,3,16.20,0.06860,0.03961,
7-EF1alpha,EF1alpha,BA84_14dpe_2646,,0.74764,-0.41959,0.03543,0.03543,,0.02045,0.02045,,,,,,,,,,,,,,,,,,,,,,3,16.22,0.06937,0.04005,
7-EF1alpha,EF1alpha,BA84_14dpe_2647,,0.89132,-0.16599,0.05979,0.05979,,0.03452,0.03452,,,,,,,,,,,,,,,,,,,,,,3,15.96,0.09821,0.05670,
7-EF1alpha,EF1alpha,BA84_14dpe_2658,,0.79257,-0.33540,0.03276,0.03276,,0.01892,0.01892,,,,,,,,,,,,,,,,,,,,,,3,16.13,0.06052,0.03494,
7-EF1alpha,EF1alpha,BA84_14dpe_2659,,0.87180,-0.19793,0.00752,0.00752,,0.00532,0.00532,,,,,,,,,,,,,,,,,,,,,,2,15.99,0.01263,0.00893,
7-EF1alpha,EF1alpha,BA84_14dpe_2660,,1.01139,0.01634,0.06722,0.06722,,0.03881,0.03881,,,,,,,,,,,,,,,,,,,,,,3,15.77,0.09730,0.05617,
7-EF1alpha,EF1alpha,BA84_14dpe_2661,,1.06193,0.08669,0.01516,0.01516,,0.01072,0.01072,,,,,,,,,,,,,,,,,,,,,,2,15.70,0.02090,0.01478,
7-EF1alpha,EF1alpha,BA84_14dpe_2662,,1.39187,0.47703,0.11065,0.11065,,0.06388,0.06388,,,,,,,,,,,,,,,,,,,,,,3,15.31,0.11638,0.06719,
1-SYBR,EF1alpha,BA84_25dpe_222,,0.57930,-0.78761,0.24242,0.24242,,0.13996,0.13996,,,,,,,,,,,,,,,,,,,,,,3,16.59,0.61260,0.35369,
1-SYBR,EF1alpha,BA84_25dpe_223,,0.73859,-0.43715,0.16379,0.16379,,0.09456,0.09456,,,,,,,,,,,,,,,,,,,,,,3,16.23,0.32463,0.18742,
1-SYBR,EF1alpha,BA84_25dpe_224,,0.85829,-0.22046,0.13031,0.13031,,0.07524,0.07524,,,,,,,,,,,,,,,,,,,,,,3,16.01,0.22227,0.12833,
1-SYBR,EF1alpha,BA84_25dpe_229,,0.77228,-0.37281,0.32759,0.32759,,0.18913,0.18913,,,,,,,,,,,,,,,,,,,,,,3,16.17,0.62097,0.35852,
1-SYBR,EF1alpha,BA84_25dpe_232,,0.71658,-0.48079,0.24222,0.24222,,0.13985,0.13985,,,,,,,,,,,,,,,,,,,,,,3,16.28,0.49484,0.28570,
1-SYBR,EF1alpha,BA84_25dpe_233,,0.67306,-0.57119,0.30537,0.30537,,0.17630,0.17630,,,,,,,,,,,,,,,,,,,,,,3,16.37,0.66418,0.38346,
7-EF1alpha,EF1alpha,BA84_25dpe_2642,,1.48761,0.57300,0.04774,0.04774,,0.02756,0.02756,,,,,,,,,,,,,,,,,,,,,,3,15.21,0.04698,0.02713,
7-EF1alpha,EF1alpha,BA84_25dpe_2663,,1.23011,0.29879,0.07358,0.07358,,0.04248,0.04248,,,,,,,,,,,,,,,,,,,,,,3,15.49,0.08757,0.05056,
7-EF1alpha,EF1alpha,BA84_25dpe_2664,,0.92086,-0.11895,0.12253,0.12253,,0.07074,0.07074,,,,,,,,,,,,,,,,,,,,,,3,15.91,0.19480,0.11247,
7-EF1alpha,EF1alpha,BA84_25dpe_2665,,1.33290,0.41457,0.12709,0.12709,,0.07337,0.07337,,,,,,,,,,,,,,,,,,,,,,3,15.37,0.13958,0.08059,
7-EF1alpha,EF1alpha,BA84_25dpe_2666,,1.30562,0.38473,0.04236,0.04236,,0.02445,0.02445,,,,,,,,,,,,,,,,,,,,,,3,15.40,0.04749,0.02742,
10-SYBR,EF1alpha,BA84_25dpe_2667,,1.16122,0.21564,0.17589,0.17589,,0.10155,0.10155,,,,,,,,,,,,,,,,,,,,,,3,15.57,0.22175,0.12802,
10-SYBR,EF1alpha,BA84_25dpe_2668,,0.84326,-0.24595,0.05517,0.05517,,0.03185,0.03185,,,,,,,,,,,,,,,,,,,,,,3,16.04,0.09577,0.05529,
2-SYBR,EF1alpha,BA84_25dpe_87,,0.49786,-1.00619,0.17895,0.17895,,0.10332,0.10332,,,,,,,,,,,,,,,,,,,,,,3,16.81,0.52619,0.30380,
2-SYBR,EF1alpha,BA84_25dpe_88,,0.52118,-0.94014,0.13925,0.13925,,0.08040,0.08040,,,,,,,,,,,,,,,,,,,,,,3,16.74,0.39113,0.22582,
2-SYBR,EF1alpha,BA84_25dpe_92,,0.56638,-0.82016,0.16447,0.16447,,0.09495,0.09495,,,,,,,,,,,,,,,,,,,,,,3,16.62,0.42509,0.24543,
2-SYBR,EF1alpha,BA84_35dpe_100,,0.53674,-0.89772,0.05325,0.05325,,0.03766,0.03766,,,,,,,,,,,,,,,,,,,,,,2,16.70,0.14525,0.10270,
1-SYBR,EF1alpha,BA84_35dpe_235,,1.15101,0.20290,0.34951,0.34951,,0.20179,0.20179,,,,,,,,,,,,,,,,,,,,,,3,15.58,0.44452,0.25665,
1-SYBR,EF1alpha,BA84_35dpe_236,,1.12255,0.16679,0.11850,0.11850,,0.06842,0.06842,,,,,,,,,,,,,,,,,,,,,,3,15.62,0.15454,0.08922,
1-SYBR,EF1alpha,BA84_35dpe_237,,0.84111,-0.24964,0.34297,0.34297,,0.19801,0.19801,,,,,,,,,,,,,,,,,,,,,,3,16.04,0.59692,0.34463,
1-SYBR,EF1alpha,BA84_35dpe_240,,0.91102,-0.13444,0.21807,0.21807,,0.12590,0.12590,,,,,,,,,,,,,,,,,,,,,,3,15.93,0.35042,0.20232,
1-SYBR,EF1alpha,BA84_35dpe_241,,1.03514,0.04983,0.45838,0.45838,,0.26464,0.26464,,,,,,,,,,,,,,,,,,,,,,3,15.74,0.64825,0.37427,
