ind,sex,treat,rep,days,new.ad
1,0,BA84,A,31,1
7,1,BA84,A,34,1
8,1,BA84,A,34,1
9,1,BA84,A,34,1
10,0,BA84,A,34,1
11,0,BA84,A,34,1
12,0,BA84,A,34,1
13,0,BA84,A,34,1
14,0,BA84,A,34,1
30,1,BA84,A,35,1
31,0,BA84,A,35,1
32,0,BA84,A,35,1
33,0,BA84,A,35,1
34,0,BA84,A,35,1
38,0,BA84,A,36,1
39,1,BA84,A,36,1
43,1,BA84,A,37,1
44,0,BA84,A,37,1
45,0,BA84,A,37,1
54,1,BA84,A,38,1
55,0,BA84,A,38,1
56,0,BA84,A,38,1
58,1,BA84,A,41,1
59,1,BA84,A,41,1
60,1,BA84,A,41,1
61,0,BA84,A,41,1
72,1,BA84,A,42,1
92,1,BA84,B,32,1
95,1,BA84,B,35,1
96,0,BA84,B,35,1
102,1,BA84,B,38,1
106,1,BA84,B,39,1
109,1,BA84,B,42,1
110,0,BA84,B,42,1
111,0,BA84,B,42,1
112,0,BA84,B,42,1
113,0,BA84,B,42,1
117,1,BA84,B,43,1
118,1,BA84,B,43,1
119,1,BA84,B,43,1
124,1,BA84,B,44,1
125,1,BA84,B,49,1
126,1,BA84,B,49,1
130,0,BA84,B,51,1
2,0,BRA20,A,31,1
3,0,BRA20,A,31,1
15,1,BRA20,A,34,1
16,0,BRA20,A,34,1
17,0,BRA20,A,34,1
18,0,BRA20,A,34,1
19,0,BRA20,A,34,1
20,0,BRA20,A,34,1
21,0,BRA20,A,34,1
35,0,BRA20,A,35,1
36,0,BRA20,A,35,1
40,0,BRA20,A,36,1
46,1,BRA20,A,37,1
47,0,BRA20,A,37,1
57,0,BRA20,A,38,1
62,1,BRA20,A,41,1
63,1,BRA20,A,41,1
64,1,BRA20,A,41,1
65,1,BRA20,A,41,1
66,0,BRA20,A,41,1
67,0,BRA20,A,41,1
73,1,BRA20,A,42,1
74,1,BRA20,A,42,1
75,1,BRA20,A,42,1
76,1,BRA20,A,42,1
77,1,BRA20,A,42,1
79,1,BRA20,A,45,1
80,1,BRA20,A,45,1
81,1,BRA20,A,45,1
86,1,BRA20,A,56,1
88,1,BRA20,B,30,1
89,1,BRA20,B,31,1
94,0,BRA20,B,35,1
98,1,BRA20,B,36,1
99,1,BRA20,B,36,1
100,0,BRA20,B,37,1
101,0,BRA20,B,37,1
103,1,BRA20,B,38,1
107,1,BRA20,B,39,1
108,0,BRA20,B,39,1
114,1,BRA20,B,42,1
120,1,BRA20,B,43,1
127,1,BRA20,B,49,1
129,1,BRA20,B,50,1
131,0,BRA20,B,52,1
4,0,MO190,A,31,1
5,0,MO190,A,31,1
6,0,MO190,A,31,1
22,0,MO190,A,34,1
23,0,MO190,A,34,1
24,0,MO190,A,34,1
25,0,MO190,A,34,1
26,0,MO190,A,34,1
27,0,MO190,A,34,1
28,0,MO190,A,34,1
29,0,MO190,A,34,1
37,0,MO190,A,35,1
41,0,MO190,A,36,1
42,1,MO190,A,36,1
48,1,MO190,A,37,1
49,1,MO190,A,37,1
50,0,MO190,A,37,1
51,0,MO190,A,37,1
52,0,MO190,A,37,1
53,0,MO190,A,37,1
68,1,MO190,A,41,1
69,1,MO190,A,41,1
70,0,MO190,A,41,1
71,0,MO190,A,41,1
78,1,MO190,A,42,1
82,0,MO190,A,45,1
83,0,MO190,A,48,1
84,0,MO190,A,50,1
85,1,MO190,A,51,1
87,1,MO190,A,59,1
90,1,MO190,B,31,1
91,0,MO190,B,31,1
93,1,MO190,B,32,1
97,1,MO190,B,35,1
104,1,MO190,B,38,1
105,1,MO190,B,38,1
115,1,MO190,B,42,1
116,1,MO190,B,42,1
121,1,MO190,B,44,1
122,1,MO190,B,44,1
123,1,MO190,B,44,1
128,1,MO190,B,49,1
132,1,MO190,B,56,1
133,,BA84,A,,0
134,,BA84,A,,0
135,,BA84,A,,0
136,,BA84,A,,0
137,,BA84,A,,0
138,,BA84,A,,0
139,,BRA20,A,,0
140,,BRA20,A,,0
141,,BRA20,A,,0
142,,MO190,A,,0
143,,MO190,A,,0
144,,MO190,A,,0
145,,BA84,B,,0
146,,BA84,B,,0
147,,BA84,B,,0
148,,BRA20,B,,0
149,,BRA20,B,,0
150,,BRA20,B,,0
151,,BRA20,B,,0
152,,BRA20,B,,0
153,,MO190,B,,0
154,,MO190,B,,0
155,,MO190,B,,0
156,,MO190,B,,0
157,,MO190,B,,0
158,,MO190,B,,0
159,,MO190,B,,0
