ind,sex,treat,new.ad,manichettaxcv,moved_to_man_n,days2emerge,I_instar,isolated_flying.cages,date_censored,days_censored,15gg_diss,25gg_diss,35gg_diss,dead_date,dead_dayspostneosf,dissected_date,dissected_days,eggs_mature,eggs_adv-mat,eggs_early-mat,note,IPSP_CODE
1,m,BA84,1,1,,29,28/05/2020,26/06/2020,,,,,,14/07/2020,18,,,,,,,
2,m,BA84,1,1,,29,28/05/2020,26/06/2020,,,,,,17/07/2020,21,,,,,,,
3,m,BA84,1,1,,29,28/05/2020,26/06/2020,,,,,,,,,,,,,,
4,m,BRA20,1,1,,29,28/05/2020,26/06/2020,,,,,,07/07/2020,11,,,,,,,
5,f,BRA20,1,1,,29,28/05/2020,26/06/2020,,,11/07/2020,21/07/2020,31/07/2020,,,14/07/2020,18,7,4,4,,1916
6,m,MO190,1,1,,29,28/05/2020,26/06/2020,,,,,,10/07/2020,14,,,,,,,
7,f,BA84,1,2,,33,28/05/2020,30/06/2020,,,15/07/2020,25/07/2020,04/08/2020,,,14/07/2020,14,9,3,4,,1917
8,f,BA84,1,2,,33,28/05/2020,30/06/2020,,,15/07/2020,25/07/2020,04/08/2020,,,14/07/2020,14,6,3,3,,1921
9,m,BA84,1,2,,33,28/05/2020,30/06/2020,,,,,,07/07/2020,7,,,,,,,
10,m,BA84,1,2,,33,28/05/2020,30/06/2020,,,,,,,,14/07/2020,14,,,,male control,1918
11,m,BA84,1,2,,33,28/05/2020,30/06/2020,,,,,,,,14/07/2020,14,,,,male control,1919
12,m,BA84,1,2,,33,28/05/2020,30/06/2020,,,,,,,,14/07/2020,14,,,,male control,1920
13,m,BA84,1,2,3,33,28/05/2020,30/06/2020,,,,,,07/07/2020,7,,,,,,,
14,m,BA84,1,2,3,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
15,m,BA84,1,2,3,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
16,m,BA84,1,2,3,33,28/05/2020,30/06/2020,,,,,,,,28/07/2020,28,,,,male control,89
17,m,BA84,1,2,3,33,28/05/2020,30/06/2020,,,,,,,,,,,,,,
18,m,BRA20,1,2,,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
19,m,BRA20,1,2,,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
20,m,BRA20,1,2,3,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
21,m,BRA20,1,2,3,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
22,m,BRA20,1,2,3,33,28/05/2020,30/06/2020,,,,,,21/07/2020,21,,,,,,,
23,f,MO190,1,2,,33,28/05/2020,30/06/2020,,,15/07/2020,25/07/2020,04/08/2020,14/07/2020,14,,,,,,,
24,m,MO190,1,2,,33,28/05/2020,30/06/2020,,,,,,07/07/2020,7,,,,,,,
25,m,MO190,1,2,,33,28/05/2020,30/06/2020,,,,,,07/07/2020,7,,,,,,,
26,m,MO190,1,2,,33,28/05/2020,30/06/2020,,,,,,07/07/2020,7,,,,,,,
27,m,MO190,1,2,,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
28,m,MO190,1,2,,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
29,m,MO190,1,2,,33,28/05/2020,30/06/2020,,,,,,14/07/2020,14,,,,,,,
30,f,BA84,1,3,,36,28/05/2020,03/07/2020,,,18/07/2020,28/07/2020,07/08/2020,24/07/2020,21,,,,,,,
31,f,BA84,1,3,,36,28/05/2020,03/07/2020,,,18/07/2020,28/07/2020,07/08/2020,28/07/2020,25,,,,,,,
32,f,BA84,1,3,,36,28/05/2020,03/07/2020,,,18/07/2020,28/07/2020,07/08/2020,,,28/07/2020,25,22,0,3,1a,87
33,f,BA84,1,3,,36,28/05/2020,03/07/2020,,,18/07/2020,28/07/2020,07/08/2020,,,28/07/2020,25,14,1,4,1b,88
34,f,BRA20,1,3,,36,28/05/2020,03/07/2020,,,18/07/2020,28/07/2020,07/08/2020,,,28/07/2020,25,12,4,5,,90
35,f,BRA20,1,3,,36,28/05/2020,03/07/2020,,,18/07/2020,28/07/2020,07/08/2020,21/07/2020,18,,,,,,,
36,f,MO190,1,3,,36,28/05/2020,03/07/2020,,,18/07/2020,28/07/2020,07/08/2020,,,28/07/2020,25,22,0,2,,91
37,m,MO190,1,3,,36,28/05/2020,03/07/2020,,,,,,14/07/2020,11,,,,,,,
38,f,BA84,1,4,,40,28/05/2020,07/07/2020,,,22/07/2020,01/08/2020,11/08/2020,,,11/08/2020,35,14,2,7,1fem a),98
39,f,BA84,1,4,,40,28/05/2020,07/07/2020,,,22/07/2020,01/08/2020,11/08/2020,,,11/08/2020,35,22,0,5,1fem b),99
40,m,BA84,1,4,,40,28/05/2020,07/07/2020,,,,,,21/07/2020,14,,,,,,,
41,m,BA84,1,4,,40,28/05/2020,07/07/2020,,,,,,28/07/2020,21,,,,,,,
42,m,BA84,1,4,,40,28/05/2020,07/07/2020,,,,,,31/07/2020,24,,,,,,,
43,f,BRA20,1,4,,40,28/05/2020,07/07/2020,,,22/07/2020,01/08/2020,11/08/2020,11/08/2020,35,11/08/2020,35,15,2,0,"morta da poco, addome non ancora secco",97
44,m,BRA20,1,4,,40,28/05/2020,07/07/2020,,,,,,11/08/2020,35,,,,,,,
45,f,MO190,1,4,,40,28/05/2020,07/07/2020,,,22/07/2020,01/08/2020,11/08/2020,,,21/07/2020,14,0,9,10,,1923
46,m,MO190,1,4,,40,28/05/2020,07/07/2020,,,,,,14/07/2020,7,,,,,,,
47,f,BA84,1,5,,43,28/05/2020,10/07/2020,,,25/07/2020,04/08/2020,14/08/2020,,,04/08/2020,25,20,0,2,,92
48,m,BA84,1,5,,43,28/05/2020,10/07/2020,,,,,,17/07/2020,7,,,,,,,
49,m,BA84,1,5,,43,28/05/2020,10/07/2020,,,,,,21/07/2020,11,,,,,,,
50,m,BA84,1,5,,43,28/05/2020,10/07/2020,,,,,,07/08/2020,28,,,,,,,
51,f,MO190,1,5,,43,28/05/2020,10/07/2020,,,25/07/2020,04/08/2020,14/08/2020,17/07/2020,7,,,,,,,
52,f,MO190,1,5,,43,28/05/2020,10/07/2020,,,25/07/2020,04/08/2020,14/08/2020,21/07/2020,11,,,,,,,
53,f,MO190,1,5,,43,28/05/2020,10/07/2020,,,25/07/2020,04/08/2020,14/08/2020,31/07/2020,21,,,,,,,
54,m,BA84,1,6,,47,28/05/2020,14/07/2020,,,,,,21/07/2020,7,,,,,,,
55,m,BA84,1,6,,47,28/05/2020,14/07/2020,,,,,,28/07/2020,14,,,,,,,
56,f,BA84,1,6,,47,28/05/2020,14/07/2020,,,29/07/2020,08/08/2020,18/08/2020,28/07/2020,14,,,,,,,
57,f,BA84,1,6,,47,28/05/2020,14/07/2020,,,29/07/2020,08/08/2020,18/08/2020,,,18/08/2020,35,8,0,4,,100
58,m,MO190,1,6,,47,28/05/2020,14/07/2020,,,,,,,,07/08/2020,,,,,,96
59,m,BA84,1,7,,50,28/05/2020,17/07/2020,,,,,,,,,,,,,,
60,m,BRA20,1,5,5,50,28/05/2020,17/07/2020,,,,,,24/07/2020,7,,,,,,,
61,f,BRA20,1,5,5,54,28/05/2020,21/07/2020,,,05/08/2020,15/08/2020,25/08/2020,,,04/08/2020,14,0,0,0,"ovari perfetti, ma no uova (tutti gli ovari traslucidi, no zone a + alta densità)",94
62,f,BRA20,1,6,,57,28/05/2020,24/07/2020,,,08/08/2020,18/08/2020,28/08/2020,14/08/2020,21,,,,,,,
63,f,MO190,1,6,,57,28/05/2020,24/07/2020,,,08/08/2020,18/08/2020,28/08/2020,,,07/08/2020,14,0,2,0,,95
64,f,MO190,1,6,,57,28/05/2020,24/07/2020,,,08/08/2020,18/08/2020,28/08/2020,07/08/2020,14,,,,,,,
65,f,BA84,1,8,,61,28/05/2020,28/07/2020,,,12/08/2020,22/08/2020,01/09/2020,31/07/2020,3,,,,,,,
66,f,BA84,1,8,,61,28/05/2020,28/07/2020,,,12/08/2020,22/08/2020,01/09/2020,31/07/2020,3,,,,,,,
67,f,BRA20,1,7,,61,28/05/2020,28/07/2020,,,12/08/2020,22/08/2020,01/09/2020,31/07/2020,3,,,,,,,
68,f,MO190,1,7,,61,28/05/2020,28/07/2020,,,12/08/2020,22/08/2020,01/09/2020,25/08/2020,28,,,,,,,
69,f,MO190,1,8,,64,28/05/2020,31/07/2020,,,15/08/2020,25/08/2020,04/09/2020,04/08/2020,4,,,,,,,
70,f,MO190,1,8,,64,28/05/2020,31/07/2020,,,15/08/2020,25/08/2020,04/09/2020,04/08/2020,4,,,,,,,
71,f,MO190,1,9,,68,28/05/2020,04/08/2020,,,19/08/2020,29/08/2020,08/09/2020,07/08/2020,3,,,,,,,
