ind,sex,treat,new.ad,manichettaxcv,moved_to_man_n,days2emerge,I_instar,isolated_flying.cages,date_censored,days_censored,15gg_diss,25gg_diss,35gg_diss,dead_date,dead_dayspostneosf,dissected_date,dissected_days,eggs_mature,eggs_adv-mat,eggs_early-mat,note,IPSP_CODE
,m,BA84,1,1,5,24,18/08/2020,11/09/2020,,,,,,25/09/2020,14,,,,,,,
,f,BA84,1,2,,28,18/08/2020,15/09/2020,,,30/09/2020,10/10/2020,20/10/2020,,,29/09/2020,14,8,3,2,,101
,m,BA84,1,2,7,28,18/08/2020,15/09/2020,,,,,,02/10/2020,17,,,,,,,
,m,BA84,1,2,7,28,18/08/2020,15/09/2020,,,,,,09/10/2020,24,,,,,,,
,m,BA84,1,2,7,28,18/08/2020,15/09/2020,,,,,,20/10/2020,35,,,,,,,
,m,BRA20,1,1,,28,18/08/2020,15/09/2020,,,,,,22/09/2020,7,,,,,,,
,f,BA84,1,3,,31,18/08/2020,18/09/2020,,,03/10/2020,13/10/2020,23/10/2020,,,02/10/2020,14,10,4,3,,102
,m,BA84,1,3,,31,18/08/2020,18/09/2020,02/10/2020,14,,,,,,,,,,,male control,103
,m,BA84,1,3,,31,18/08/2020,18/09/2020,,,,,,09/10/2020,21,,,,,,,
,m,BA84,1,3,9,31,18/08/2020,18/09/2020,,,,,,12/10/2020,24,,,,,,,
,m,BA84,1,3,9,31,18/08/2020,18/09/2020,,,,,,12/10/2020,24,,,,,,,
,m,BA84,1,3,9,31,18/08/2020,18/09/2020,,,,,,20/10/2020,32,,,,,,,
,m,BRA20,1,1,4,31,18/08/2020,18/09/2020,,,,,,12/10/2020,24,,,,,,,
,f,BA84,1,4,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,,,16/10/2020,24,11,0,4,a,222
,f,BA84,1,4,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,,,16/10/2020,24,13,3,4,b,223
,f,BA84,1,4,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,,,16/10/2020,24,24,1,1,c,224
,m,BA84,1,4,,35,18/08/2020,22/09/2020,,,,,,16/10/2020,24,16/10/2020,,,,,male control,221
,m,BA84,1,4,,35,18/08/2020,22/09/2020,,,,,,,,,,,,,,
,m,BA84,1,4,,35,18/08/2020,22/09/2020,,,,,,,,,,,,,,
,f,BA84,1,5,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,,,27/10/2020,35,18,0,4,,235
,f,BA84,1,5,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,21/10/2020,29,,,,,,,
,f,BA84,1,5,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,25/09/2020,3,,,,,,,
,f,BA84,1,5,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,25/09/2020,3,,,,,,,
,m,BA84,1,5,,35,18/08/2020,22/09/2020,,,,,,25/09/2020,3,,,,,,,
,m,BA84,1,5,,35,18/08/2020,22/09/2020,,,,,,09/10/2020,17,,,,,,,
,m,BA84,1,5,9,35,18/08/2020,22/09/2020,,,,,,,,,,,,,,
,f,BRA20,1,2,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,,,16/10/2020,24,12,4,3,a,225
,f,BRA20,1,2,,35,18/08/2020,22/09/2020,,,07/10/2020,17/10/2020,27/10/2020,,,16/10/2020,24,0,2,4,b; ali spampanate,226
,m,BRA20,1,2,,35,18/08/2020,22/09/2020,,,,,,02/10/2020,10,,,,,,,
,m,BRA20,1,2,,35,18/08/2020,22/09/2020,,,,,,,,16/10/2020,,,,,male control,227
,m,BRA20,1,2,man7_BA84,35,18/08/2020,22/09/2020,,,,,,23/10/2020,31,,,,,,,
,m,BRA20,1,2,man7_BA84,35,18/08/2020,22/09/2020,,,,,,27/10/2020,35,,,,,,,
,f,BA84,1,6,,38,18/08/2020,25/09/2020,,,10/10/2020,20/10/2020,30/10/2020,,,09/10/2020,14,0,1,1,a,106
,f,BA84,1,6,,38,18/08/2020,25/09/2020,,,10/10/2020,20/10/2020,30/10/2020,,,09/10/2020,14,6,3,3,b,107
,f,BA84,1,6,,38,18/08/2020,25/09/2020,,,10/10/2020,20/10/2020,30/10/2020,,,09/10/2020,14,3,4,5,c,108
,f,BA84,1,6,,38,18/08/2020,25/09/2020,,,10/10/2020,20/10/2020,30/10/2020,,,09/10/2020,14,13,3,3,d,109
,f,BA84,1,6,,38,18/08/2020,25/09/2020,,,10/10/2020,20/10/2020,30/10/2020,,,20/10/2020,25,12,1,5,,229
,f,BA84,1,6,,38,18/08/2020,25/09/2020,,,10/10/2020,20/10/2020,30/10/2020,,,30/10/2020,35,25,3,6,a,236
