ind,sex,treat,new.ad,manichettaxcv,moved_to_man_n,days2emerge,I_instar,isolated_flying.cages,date_censored,days_censored,15gg_diss,25gg_diss,35gg_diss,dead_date,dead_dayspostneosf,dissected_date,dissected_days,eggs_mature,eggs_adv-mat,eggs_early-mat,note,description,IPSP_CODE
,f,BA84,1,1,,27,20/04/2021,17/05/2021,,,01/06/2021,11/06/2021,21/06/2021,,,11/06/2021,25,24,4,4,,fBA84_dpe25_man1_id,2642
,m,BA84,1,1,,27,20/04/2021,17/05/2021,,,,,,01/06/2021,15,,,,,,,mBA84_dpe_man1_id,
,m,BA84,1,1,,27,20/04/2021,17/05/2021,,,,,,11/06/2021,25,,,,,,,mBA84_dpe_man1_id,
,m,BA84,1,1,,27,20/04/2021,17/05/2021,,,,,,,,11/06/2021,,,,,male control,mBA84_dpe_man1_idmale control,2691
,m,BA84,1,1,,27,20/04/2021,17/05/2021,15/06/2021,29,,,,,,,,,,,,mBA84_dpe_man1_id,
,m,BA84,1,1,,27,20/04/2021,17/05/2021,,,,,,18/06/2021,32,,,,,,,mBA84_dpe_man1_id,
,m,BA84,1,1,,27,20/04/2021,17/05/2021,,,,,,29/06/2021,43,,,,,,,mBA84_dpe_man1_id,
,m,BA84,1,1,man.2 MO190,27,20/04/2021,17/05/2021,02/07/2021,46,,,,,,,,,,,,mBA84_dpe_man1_id,
,m,BA84,1,1,man.2 MO190,27,20/04/2021,17/05/2021,02/07/2021,46,,,,,,,,,,,,mBA84_dpe_man1_id,
,m,BA84,1,1,man.2 MO190,27,20/04/2021,17/05/2021,02/07/2021,46,,,,,,,,,,,"non visto il 13/07/2021, censored?","mBA84_dpe_man1_idnon visto il 13/07/2021, censored?",
,m,BA84,1,NA,,27,20/04/2021,17/05/2021,,,,,,24/05/2021,7,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,,27,20/04/2021,17/05/2021,,,,,,24/05/2021,7,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,8,27,20/04/2021,17/05/2021,,,,,,28/05/2021,11,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,8,27,20/04/2021,17/05/2021,,,,,,08/06/2021,22,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,8,27,20/04/2021,17/05/2021,,,,,,18/06/2021,32,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,8,27,20/04/2021,17/05/2021,,,,,,,,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,9,27,20/04/2021,17/05/2021,,,,,,11/06/2021,25,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,9,27,20/04/2021,17/05/2021,,,,,,11/06/2021,25,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,9,27,20/04/2021,17/05/2021,,,,,,,,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,9,27,20/04/2021,17/05/2021,,,,,,,,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,9,27,20/04/2021,17/05/2021,,,,,,,,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,,27,20/04/2021,17/05/2021,,,,,,11/06/2021,25,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,,27,20/04/2021,17/05/2021,,,,,,11/06/2021,25,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,,27,20/04/2021,17/05/2021,,,,,,15/06/2021,29,,,,,,,mBA84_dpe_manNA_id,
,m,BA84,1,NA,,27,20/04/2021,17/05/2021,15/06/2021,29,,,,,,,,,,,,mBA84_dpe_manNA_id,
