ind,sex,sex_char,treat,treat_sex,rep,day,death
1,0,m,BRA20,BRA20m,A,1,1
2,0,m,MO190,MO190m,A,1,1
3,0,m,MO190,MO190m,A,2,1
4,0,m,BA84,BA84m,A,6,1
5,0,m,MO190,MO190m,A,6,1
6,0,m,MO190,MO190m,A,6,1
7,0,m,BRA20,BRA20m,A,8,1
8,0,m,MO190,MO190m,A,9,1
9,0,m,MO190,MO190m,A,13,1
10,1,f,MO190,MO190f,A,13,1
11,0,m,BA84,BA84m,A,21,1
12,0,m,BRA20,BRA20m,A,21,1
13,1,f,BRA20,BRA20f,A,27,1
14,1,f,MO190,MO190f,A,27,1
15,0,m,BA84,BA84m,A,28,1
16,1,f,BRA20,BRA20f,A,28,1
17,1,f,BRA20,BRA20f,A,28,1
18,1,f,BRA20,BRA20f,A,30,1
19,0,m,BA84,BA84m,A,34,1
20,0,m,BA84,BA84m,A,34,1
21,1,f,BA84,BA84f,A,35,1
22,0,m,MO190,MO190m,A,45,1
23,1,f,BA84,BA84f,A,49,1
24,1,f,BA84,BA84f,A,49,1
25,1,f,MO190,MO190f,A,51,1
26,1,f,BA84,BA84f,A,55,1
27,1,f,BA84,BA84f,A,55,1
28,1,f,BA84,BA84f,A,69,1
29,1,f,BA84,BA84f,A,70,1
30,0,m,BA84,BA84m,A,71,1
31,1,f,BRA20,BRA20f,A,76,1
32,0,m,BRA20,BRA20m,A,97,1
33,0,m,BRA20,BRA20m,A,155,1
34,1,f,BA84,BA84f,B,5,1
35,0,m,BRA20,BRA20m,B,5,1
36,0,m,BRA20,BRA20m,B,8,1
37,0,m,MO190,MO190m,B,18,1
38,1,f,MO190,MO190f,B,18,1
39,0,m,MO190,MO190m,B,19,1
40,0,m,BRA20,BRA20m,B,19,1
41,0,m,MO190,MO190m,B,20,1
42,0,m,BRA20,BRA20m,B,20,1
43,0,m,MO190,MO190m,B,20,1
44,0,m,MO190,MO190m,B,21,1
45,0,m,MO190,MO190m,B,21,1
46,0,m,BRA20,BRA20m,B,22,1
47,1,f,BRA20,BRA20f,B,22,1
48,1,f,MO190,MO190f,B,25,1
49,1,f,BA84,BA84f,B,25,1
50,0,m,BA84,BA84m,B,25,1
51,0,m,BRA20,BRA20m,B,27,1
52,1,f,BRA20,BRA20f,B,28,1
53,1,f,MO190,MO190f,B,28,1
54,1,f,MO190,MO190f,B,28,1
55,0,m,BRA20,BRA20m,B,32,1
56,0,m,MO190,MO190m,B,34,1
57,1,f,BRA20,BRA20f,B,35,1
58,1,f,BRA20,BRA20f,B,35,1
59,0,m,BRA20,BRA20m,B,35,1
60,1,f,BA84,BA84f,B,41,1
61,1,f,BA84,BA84f,B,41,1
62,0,m,MO190,MO190m,B,43,1
63,1,f,MO190,MO190f,B,43,1
64,1,f,BRA20,BRA20f,B,46,1
65,1,f,BRA20,BRA20f,B,47,1
66,1,f,BRA20,BRA20f,B,48,1
67,1,f,BA84,BA84f,B,50,1
68,1,f,BA84,BA84f,B,53,1
69,0,m,BRA20,BRA20m,B,53,1
70,1,f,MO190,MO190f,B,53,1
71,0,m,BA84,BA84m,B,54,1
72,0,m,BA84,BA84m,B,54,1
73,0,m,BA84,BA84m,B,54,1
74,1,f,MO190,MO190f,B,54,1
75,1,f,BA84,BA84f,B,57,1
76,1,f,BRA20,BRA20f,B,60,1
77,1,f,BRA20,BRA20f,B,62,1
78,1,f,BRA20,BRA20f,B,64,1
79,1,f,BRA20,BRA20f,B,67,1
80,1,f,BA84,BA84f,B,67,1
81,0,m,MO190,MO190m,B,69,1
82,1,f,BA84,BA84f,B,69,1
83,1,f,BA84,BA84f,B,69,1
84,1,f,MO190,MO190f,B,69,1
85,1,f,BRA20,BRA20f,B,70,1
86,1,f,BA84,BA84f,B,74,1
87,0,m,BA84,BA84m,B,74,1
88,1,f,BRA20,BRA20f,B,74,1
89,1,f,BA84,BA84f,B,77,1
90,1,f,MO190,MO190f,B,78,1
91,1,f,MO190,MO190f,B,81,1
92,1,f,MO190,MO190f,B,82,1
93,1,f,MO190,MO190f,B,88,1
94,1,f,MO190,MO190f,B,88,1
95,1,f,MO190,MO190f,B,89,1
96,1,f,MO190,MO190f,B,89,1
97,0,m,BRA20,BRA20m,B,92,1
98,0,m,BA84,BA84m,B,95,1
99,0,m,BA84,BA84m,B,95,1
100,1,f,BRA20,BRA20f,B,102,1
101,0,m,BA84,BA84m,B,103,1
102,0,m,BA84,BA84m,B,103,1
103,0,m,BA84,BA84m,B,110,1
